Question,Answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning?,Machine Learning is a branch of AI that enables systems to learn from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What is NLP?,Natural Language Processing helps computers understand and process human language.
What programming language is commonly used in AI?,Python is the most widely used programming language for AI development.
What is a neural network?,A neural network is a computational model inspired by the human brain.
What is supervised learning?,Supervised learning uses labeled data to train models.
What is unsupervised learning?,Unsupervised learning finds patterns in unlabeled data.
What is computer vision?,Computer vision enables machines to understand images and videos.
What is generative AI?,Generative AI creates new content such as text images audio and code.
What is AI used for?,AI is used in healthcare finance education transportation and many other industries.
What is a chatbot?,A chatbot is a software application that simulates human conversation.
What is data science?,Data science involves extracting useful insights and knowledge from data.
What is reinforcement learning?,Reinforcement learning is a machine learning technique where an agent learns through rewards and penalties.
What is a dataset?,A dataset is a collection of data used for analysis or training machine learning models.
What is Python?,Python is a popular programming language widely used in AI and machine learning.
What is TensorFlow?,TensorFlow is an open-source machine learning framework developed by Google.
What is overfitting?,Overfitting occurs when a model learns training data too well and performs poorly on new data.
What is model training?,Model training is the process of teaching a machine learning model using data.
What is Generative AI used for?,Generative AI can create text images audio video and code.
What is ML?,ML stands for Machine Learning which enables systems to learn patterns from data.
What is AI?,AI stands for Artificial Intelligence which simulates human intelligence in machines.
What is DL?,DL stands for Deep Learning which uses neural networks with multiple layers.
What is CV?,CV stands for Computer Vision which helps machines understand images and videos.
